,episode,alizarin_crimson,bright_red,cadmium_yellow,phthalo_green,prussian_blue,sap_green,titanium_white,van_dyke_brown,black_gesso,burnt_umber,indian_yellow,phthalo_blue,yellow_ochre,liquid_black,midnight_black,liquid_clear,dark_sienna,indian_red
188,S15E07,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
189,S15E08,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
190,S15E09,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0
191,S15E10,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
192,S15E11,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
193,S15E12,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0
194,S15E13,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
195,S16E01,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
196,S16E02,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
197,S16E03,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0
198,S16E04,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
199,S16E05,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
200,S16E06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201,S16E07,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0
202,S16E08,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
203,S16E09,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0
204,S16E10,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0
205,S16E11,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
206,S16E12,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
207,S16E13,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
208,S17E01,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0
209,S17E02,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
210,S17E03,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0
211,S17E04,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0
212,S17E05,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0
213,S17E06,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
214,S17E07,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
215,S17E08,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
216,S17E09,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
217,S17E10,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
218,S17E11,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0
219,S17E12,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0
220,S17E13,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
221,S18E01,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
222,S18E02,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
223,S18E02,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0
224,S18E04,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
225,S18E05,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
226,S18E06,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
227,S18E07,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
228,S18E08,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
229,S18E09,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
230,S18E10,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0
231,S18E11,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
232,S18E12,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0
233,S18E12,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0
234,S19E01,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
235,S19E02,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0
236,S19E03,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
237,S19E04,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0
